nome,email,cnpj,ativo,senha,foto_url
Montenegro,fsousa@mendes.com,38.671.254/0001-04,true,$2b$12$N5Syb1aMFZeXNK9mpheSgens.FdX4/oHNfRCeHSV0noalhspLWJIK,
Gomes - EI,vitoria98@farias.org,05.194.628/0001-99,true,$2b$12$8oIOHXEXQ6JX85tt2Cl1TuqFi8UHicmVKlAUNuPtlWxPamPq516J2,https://i.pravatar.cc/300?u=b9a676c0-3579-49ba-af5a-f808185d002a
da Cruz Ltda.,lopesana-clara@silva.edu.br,13.249.085/0001-98,false,$2b$12$NtTBdg18vBCKSwr0T92lVOUBLKcgmdFrnEs/6PnYfPM3KWldVOfD.,https://i.pravatar.cc/300?u=83fc61d4-61d0-47d5-b15a-a9f1057da39e
Porto,yda-paz@farias.com,95.703.861/0001-42,true,$2b$12$v1L3qkuLacx/dIX5eFFyh.Df1DNK.b3Lfw32LxdDpUYnbku3X81Ca,https://i.pravatar.cc/300?u=0dd173e8-775a-4ae7-af86-917e79f83464
Sampaio Câmara - ME,emanuelcirino@cunha.edu.br,63.780.451/0001-09,false,$2b$12$cs6.b52yvXdAXYSCM3daRuEBGI2LGOvp/2K41mZJ4ICQUfEGKzFGi,https://i.pravatar.cc/300?u=3216af57-5dd9-41ad-94ad-48eb25aa838f
,xcirino@sousa.org,39.620.847/0001-04,true,$2b$12$Ygk4wE61wIhYon/stk/5jOKFx3avVK80n/TkAyuuZWz5vkZfm8NCa,
Aragão,bruna00@almeida.br,82.765.041/0001-33,true,$2b$12$AcKLl/T6Dx08aPy1wdL6teVEb9oVdl9tFHw/mY.Hajiq89Ru.b9e.,https://i.pravatar.cc/300?u=f87559d7-3fd0-47a9-81a1-a79f7d01d43b
Mendonça,icardoso@costela.edu.br,31.096.285/0001-30,true,$2b$12$hPejOBnsKr4Ie04YXaOtS.5kq7rUAEHVlQnkulXabf8eaB9MUq9ai,https://i.pravatar.cc/300?u=96afa1f1-63c0-48c7-94be-e3a739a8f344
Gomes,yan75@sampaio.com,85.769.140/0001-81,true,$2b$12$Z4eZZT72ylxsCZkc7AvyIOV37RPCN5CbSmgRykp2SySST/LIIwnK.,
Rezende da Cruz e Filhos,joao-felipe64@duarte.gov.br,28.564.073/0001-25,false,$2b$12$sD1GuLqcXiwGXqRF6aeeCejxLoK2BwjeFIlY0vAUoCfGm4YK26q2.,https://i.pravatar.cc/300?u=bf60b4b8-cc3b-4425-b21d-cd5cf0eb8880
Marques Macedo - ME,ceciliaabreu@leao.br,14.670.295/0001-18,true,$2b$12$AK3CuQ9DF.OXZSyO1Cyol.x4.YLvLGidqmo.6shKoGF/rJQpQ6xY.,https://i.pravatar.cc/300?u=c3a51bc8-ccb4-4ba2-94bf-107485c6529d
Almeida Sousa S/A,rebeca51@montenegro.org,63.954.187/0001-82,true,$2b$12$RcMdBhsmvu1XmP33Z23ggeMD91en2NN5kvnuCkyZzHKBlmYECQCiO,
,wribeiro@fernandes.com,18.293.460/0001-10,true,$2b$12$1QJsxQfgM9Hg88xykFGZF.QsIYj7/j3AtZNCv1Avop9VX/EDmyoNq,https://i.pravatar.cc/300?u=4b21dacd-7815-49d0-be67-634174d56272
,joao-miguelviana@vieira.com.br,87.142.960/0001-74,true,$2b$12$NdQoAfHn0J4/YZr/kzy5U.uhJWHCuqrAHeqwNFOzAUV41apV1T4IG,https://i.pravatar.cc/300?u=12b5e0b5-8425-4f4a-b4e6-78c8617db6d7
da Paz,luiz-henriquepastor@moraes.gov.br,17.846.023/0001-14,true,$2b$12$PRg.gktIWuETSXNPw8Jjb.qJLffxm4FZ0Eq5WyWP33Rz6xQrm0V0q,https://i.pravatar.cc/300?u=3b0692ad-5cc5-4213-aac0-5619f4842a57
Silveira - ME,igarcia@guerra.com.br,93.284.051/0001-73,true,$2b$12$n8bp2slmLgZt/M4wp2HiKu6IGtSbxvxx1tmfmhPTffd5mecTyUkkG,https://i.pravatar.cc/300?u=9c0e574c-316e-477e-9869-eafe7811a263
Rocha,sampaiohenry-gabriel@da.com,17.846.023/0001-14,true,$2b$12$IKOShZ.pt.EjQ5BTAyulGuF6CoHJ66ISKLZgvyyLaICnMHBEnPRQS,https://i.pravatar.cc/300?u=b9e2829c-1fd7-4b6c-879c-50a34e08de10
,sem-arroba.com.br,82.450.793/0001-05,true,$2b$12$V7.JKjl2PrC36ZG.4gbwvOeVVqrf5M4B/.GO7M4JLGYLLCJX4Va4W,https://i.pravatar.cc/300?u=12f7a69b-8923-4b5b-ba94-0243ced4ebed
Vieira Barbosa S/A,acamara@cassiano.com,08.465.397/0001-07,true,$2b$12$xGhAfCCN60VjBpzW3ZtEFOra.PZbKIIIeQoXeUWy89e7i5X7laGSa,https://i.pravatar.cc/300?u=dc032a37-a7e6-4537-ab4a-ca6cb24f30fc
Freitas Ltda.,maria-alice28@da.com.br,abc.def.ghi/jklm-no,true,$2b$12$jCfPdug7gYezFYEiSFSYkeGNpZsCnjkBfDYjw0YsW27nsdyURnXB.,https://i.pravatar.cc/300?u=eba9ba8f-4002-4955-a1d4-e8b4ad4cbba8
Fogaça Rocha S.A.,ravi-luccamelo@da.com,,true,$2b$12$nrMVrLQRqu050XyzmNeOte.g0N/oAQabz6UHQ7GseRzmBYEswxbPi,https://i.pravatar.cc/300?u=a0276f69-f01d-4158-b78a-9bc68ef559b1
Pacheco,maria-lauranovais@moreira.com,31.048.762/0001-91,true,$2b$12$dOo9AJoOtA31TEIuxOT26.c0M4p3NiEWy7i82jzU96lCl6a9C5pEK,
Cunha e Filhos,mariah07@alves.com,64.930.218/0001-28,true,$2b$12$cdRm6YMp14/QCB7FGkVT5u2r8m.WH4HI0SkpNiREcR2KQvvJq5Abm,https://i.pravatar.cc/300?u=f6ffdbcc-238e-4899-b7d3-15f39adcedc6
Pereira,lucas28@da.com,39.752.410/0001-24,true,$2b$12$unkQFOWTFIeXBUk5WrEoyuCkGyKL1krGhxIidnK/THsWoEUnWaMhS,
Cardoso Cirino S/A,cavalcantiliz@da.net,32.859.416/0001-56,true,$2b$12$ri3Gtr3lsg3cr9bzPEbD8.XEt95K5R6rmYKurP8aD172MvIR5Big2,
Sales - EI,lsilva@fogaca.br,90.532.468/0001-10,false,$2b$12$z9oF8Oli/FnRqetVNtjqpOZJtc353Ywor8iLdAimwW3UaN.Y9R0Y.,https://i.pravatar.cc/300?u=5366498e-0d74-4ff6-8a6e-4459a5caf180
Cassiano S/A,isales@azevedo.com.br,61.793.584/0001-94,true,$2b$12$Asiqp5SQo3uljIuAqGH5UevPW8Xt4r.7GwHpjU3ve4kiwgZFU0SVK,https://i.pravatar.cc/300?u=1501df3c-b62b-4d72-9978-3f8e27c8aa53
Gomes,ocamargo@sampaio.com,abc.def.ghi/jklm-no,true,$2b$12$ZPAqIu7aPy1NIz0dabSVYul4ozc/qKAvGjdZrnagRR2XWFxmmOxWC,
Souza Cardoso - ME,macedocaue@viana.gov.br,43.906.127/0001-87,true,$2b$12$TRoLqvXla6uuGhq8srTpiOFMcNhS4bMqbGgz/vO8oqdFY1T0MomDG,https://i.pravatar.cc/300?u=ed691789-c587-4a56-a1d1-69ce6a7a3a78
Duarte,xborges@brito.com.br,abc.def.ghi/jklm-no,true,$2b$12$BLZlPGZ0b9oLhP7y0ew5gOPMQ/vLpvVHQ3JNxHiFdNZMvb3eaUo1.,
Ramos,pietramendonca@silveira.com,32.947.061/0001-57,true,$2b$12$319TBz4nzc86uo3TeEonfOzfpUnHwjpyKmqD04sedoOB9JybrNNCm,
