id_usuario,cep,estado,bairro,rua,numero,complemento
8c80d5cf-8b6e-4b94-83ee-27455ba6a8d1,84029-853,AC,do Norte,Distrito Araújo,1299,
45ab4302-2404-44c6-87c5-d404a7efbf00,36271-887,TO,Alegre,Favela de Peixoto,2450,Bloco B
dc2d2a61-15a0-46b5-b870-925fdaf42b3a,97349-347,MA,da Mata,Vereda de Albuquerque,3894,Casa 2
1b484795-7149-4ed7-9fd8-a5a9a5bd87f9,55976-102,ES,do Oeste,Morro Bryan Garcia,6879,Bloco B
1bd89900-9970-49d7-b650-24a928720f04,68366-944,TO,do Campo,Feira Aparecida,8190,
1a16e564-81fa-472e-88f5-74bf6be92434,93489-151,RJ,das Flores,Praia Luiz Henrique Guerra,3964,Apto 12
b52d13d5-425f-4aa4-8617-97dde7d516d7,08086250,AC,do Norte,Praia de Guerra,5781,Apto 12
473e9224-eeab-4c93-a5fa-672cd1c3b0a9,48850039,CE,do Oeste,Vila de Rezende,1403,Casa 2
64ebf955-0f80-48ad-bd2b-f8ba53e2ee58,44718-097,PE,de Minas,Praia de Correia,8915,
6081b888-2ffb-4757-b934-416a36647878,14673538,PR,de Goiás,Setor Helena Sampaio,714,Bloco B
81d868fb-f7d1-45e6-ad52-7045a55ce78b,12345,SC,do Campo,Residencial Ana Júlia Souza,267,
df688b0e-038b-46d9-8890-a2af8c2c4170,87873-184,AP,de Minas,Núcleo de Nunes,5650,Apto 12
e4f48918-3117-4178-8396-6ddec23bbe3b,61535991,RS,das Flores,Setor Vargas,1699,Casa 2
be33da47-168e-4bb6-911d-c360d408a8ef,48117180,MS,do Campo,Distrito de Machado,8946,Casa 2
29979e32-2854-4bb2-bbf0-6309b1734f95,84614333,CE,Alegre,Sítio Pietra Alves,7613,Bloco B
c46be7c7-1e3e-4db0-985e-01efce04b180,20979-070,SE,do Oeste,Pátio Eduardo Peixoto,2210,
c0ebb2be-efee-4b27-ab12-7060e8693275,82258-901,PB,das Pedras,Pátio de Abreu,606,Casa 2
48c6ce9e-3faf-4f12-aaea-a0ac6f14ef97,64149771,SE,de Goiás,Vereda de Moura,3269,
a0a0ee89-2aec-421e-bad5-fe93e98ad4d4,19897-315,MA,das Flores,Conjunto de Montenegro,8445,Bloco B
045d800d-88da-4243-8d4e-c5db350a38ec,cep-invalido,PR,do Amparo,Morro Santos,4151,
d25b376d-2fbd-4ee4-bd9c-62257d85af5c,37453443,RS,do Sul,Setor de Costela,3132,Casa 2
5d3ccbac-687e-42af-83af-32dafd0a0c32,99516740,SP,Verde,Avenida de Siqueira,784,Casa 2
299be476-2b01-492e-9143-8a571cfce3c2,26406-195,SE,do Amparo,Passarela Daniela Ferreira,6030,Bloco B
não-é-um-uuid,78027-134,SC,de Goiás,Estrada Câmara,7205,
não-é-um-uuid,05298238,MG,da Serra,Vila Moraes,5555,
cc763780-6edc-4cd8-80be-6f8a6ac76732,12345,RR,do Oeste,Conjunto Melo,8152,
2324a6bd-fade-4b5a-9588-741ab5275e30,92416745,SE,das Flores,Largo de Sampaio,8508,Casa 2
b1e15399-0943-4df0-9c28-fb58696dd58b,90615391,SC,das Pedras,Estação Cardoso,6956,
a9b0c616-e3c9-4c16-9b1f-814d7309f1ad,79006472,TO,de Goiás,Morro Araújo,2957,Casa 2
642a2a13-0bb7-48d2-a9e5-55be872da6b9,91435-892,AP,de Goiás,Aeroporto de Novais,5373,Casa 2
0e14441d-1748-4427-aec6-7cc46f352910,05319-468,RN,do Norte,Avenida Guilherme Rezende,6982,Apto 12
67fc87e2-8ae9-45ad-bd5e-da05dc491691,33188-466,MS,das Pedras,Vale de Nogueira,7326,
8690619e-ac56-4bad-ac67-3fd2b1733b26,24318215,MS,Grande,Núcleo de Campos,7127,Casa 2
b79df35f-10f3-47e1-b2e1-59d1b5f86ec9,37975-050,SE,da Praia,Recanto Danilo Fonseca,940,
5d758cb1-56af-46e6-b7d1-d91382136759,44066404,MG,dos Dourados,Lagoa Agatha Teixeira,5953,Apto 12
4ccecb77-ef4b-4048-911e-22f4fbb2a55e,,RN,do Sul,Feira Fonseca,7180,
004f867e-2a63-4f4e-8633-112f37ae9b20,93241-417,AP,do Amparo,Colônia de da Rosa,3867,Casa 2
14bab466-9250-4dfb-bdac-1103267d1a1c,16548-740,RJ,Verde,Via Alícia Sá,531,Apto 12
29324a9c-b563-4d44-b1d9-56ba3d9aefbf,53581-971,MS,da Serra,Lagoa Aylla Teixeira,6096,Bloco B
69dbc567-301b-41d2-9296-a9997a19377f,11401666,RJ,dos Dourados,Residencial Vinícius Almeida,2256,Casa 2
b478d375-8d98-45b9-809d-449b21b7143e,30542-247,RS,de Goiás,Vereda Pacheco,4567,Apto 12
b3317909-4fa4-4295-a3e6-3121565435e3,,SC,das Pedras,Travessa de Lima,3049,
bf504c6f-804d-4fc9-9ba5-58ab6d1db2be,99918442,MG,Grande,Via Aragão,9203,
e7f5242b-a5ce-4d7c-bd06-60e6f5b0ab2c,95199-821,GO,da Serra,Via Nascimento,7312,Apto 12
3f4cdd2c-942f-420d-9d56-deb2d5444825,12345,RR,das Pedras,Sítio de Nogueira,8048,
d9d225b3-4e63-415a-9a4a-2db65d888a77,30935131,BA,do Campo,Sítio de Casa Grande,1214,Bloco B
b90dd9eb-838f-4ed7-ab5a-48013831b02f,97350-301,RR,do Norte,Núcleo de Cassiano,7293,
bd2ea4f5-714f-4e69-8f24-d9e130d9a2cb,64851-851,MT,Alegre,Distrito Ribeiro,5693,
f7b55ba7-eb5a-4e4b-96ac-17283de8e9ae,03022-909,MA,do Campo,Quadra Ana Luiza Campos,4915,Apto 12
3b5b4d05-6666-4f1b-b3fc-ca22ee84b1f0,42560963,RR,de Minas,Sítio de Casa Grande,2853,Casa 2
58c92acc-22a9-4ab3-b9d1-9d2cbd87d76f,17013804,AM,do Galho,Parque de da Rocha,3293,Apto 12
b9749739-0731-41c3-b198-47373ca6bd06,43269-499,PR,do Amparo,Jardim de Albuquerque,431,Casa 2
5b670efe-4b35-4486-92ea-de770c26421b,30185674,MS,do Campo,Sítio Cunha,7658,Apto 12
1e71ce6a-8cfc-4a92-bff9-8eee65eb79f0,79550-901,AP,Alegre,Largo de Aparecida,1078,Casa 2
e48b3ff5-bd0b-4131-8648-3faebad090b9,97987241,RR,do Norte,Núcleo de Nunes,7843,Bloco B
7565c236-b7c2-41f3-9007-73e76f6b766c,94607497,TO,das Flores,Chácara de Moreira,9420,
0b9584ab-1582-4847-8495-ca06099dbe0e,73097-305,MT,Grande,Lagoa Maitê Cunha,1216,Bloco B
09cd8cdd-a1f4-4943-b568-0e6599389d4e,28340-162,PE,Paulista,Jardim Casa Grande,5645,Apto 12
não-é-um-uuid,84521240,SP,do Sul,Praça Isis Alves,9033,
bb0ebba8-5a5c-4c1f-a927-7e26f8bb00c2,90216-504,CE,da Praia,Pátio Sales,2115,Bloco B
b978c665-ede4-4a7c-8354-8a1afd959994,81612602,AL,da Praia,Aeroporto Stella Duarte,2035,Apto 12
d470a31f-4002-4585-9c4d-e0a14b348cf2,13782-586,CE,do Oeste,Distrito de Pires,5287,Apto 12
22b174c2-487c-45fa-98da-99e212a75f39,23948292,PE,Alegre,Viela Andrade,4654,
607c9491-6fab-47bf-b078-2fa77b8f08da,25354-416,RS,do Campo,Lagoa de da Mota,9025,Casa 2
fb374c36-5129-4e8d-97fe-a2d3ed30e439,65923-042,MA,Paulista,Campo de Rodrigues,8741,
60d2153f-5bc9-4567-8cec-b68e42d7a2b8,98223530,CE,do Galho,Estação Francisco Monteiro,9697,Apto 12
036ce2d3-656b-450d-903e-c687370f4fe7,28797422,RN,do Oeste,Alameda Benicio Martins,9915,Casa 2
8f58c3dd-0a7c-412a-adc5-342d01ed16b7,93093041,RJ,dos Dourados,Via Mendonça,675,
9438d723-d940-42c6-86f6-d7af6ee1b655,69325-072,AC,de Goiás,Campo Cardoso,1331,
c7074efb-6b7c-4c3e-b893-2739eaf34923,60126865,RS,Grande,Vila Casa Grande,9450,Casa 2
9dcbcedd-62c3-4b01-ab57-2bc53ec360c8,90116381,SP,das Pedras,Chácara de Pereira,9374,Bloco B
48cddb6d-328b-44c0-a7f9-59e2e4d9098c,79430-397,AC,dos Dourados,Pátio Ian Sá,8160,Casa 2
1478f2a5-f0fa-45d1-a79e-020c0bc76d6f,15594564,MA,Paulista,Morro Yan da Paz,7913,Apto 12
8d4eaffe-09b0-4e4e-8b8e-fd8613802f50,93045037,RO,dos Dourados,Estrada Ana Lívia Aragão,6654,Casa 2
1968f788-7739-4e88-b012-df45791a376d,93753-220,RR,do Norte,Estrada de Gomes,982,Apto 12
c3ef3565-9ac9-4237-ae67-582dc6735975,48941728,PR,de Minas,Área Stephany Freitas,7610,Apto 12
f3394d1c-f270-45c5-9ac3-da6d0c7b4652,72561-798,BA,do Campo,Distrito Jesus,5122,Casa 2
d3486640-60e2-4e3e-8a3b-e6ea24e4d73f,28645-766,MS,do Campo,Esplanada Gabriel Pacheco,6533,Apto 12
b35efac7-307f-4a69-b7c6-7bc2ca18208e,58355-741,PE,de Minas,Vale Luiz Miguel da Conceição,9203,
0c928707-9f83-439f-adae-b24c570ff510,62776-831,PB,das Pedras,Residencial Pimenta,2008,Casa 2
40a2ced2-d6bf-4458-ad5f-8c04e2ecf52b,68486-804,BA,do Oeste,Viaduto Andrade,1587,
5a61773f-c4a5-4af9-8ccc-02c0f353d126,12413-229,MG,de Goiás,Estação Aragão,6851,Apto 12
01c34b98-ac3e-4dc8-8e12-a71858b14067,,TO,das Pedras,Quadra Leandro Pinto,5365,
c366c7bf-07ba-4d73-93b2-d058519d323d,06110-534,SPP,do Oeste,Viela Porto,3111,
8cb7ea21-cf27-4564-bf90-de45c60ae1eb,79440-191,PR,de Minas,Avenida Fernandes,8434,Bloco B
cd824089-9a76-45fe-bb3a-6aaf5aadf0e6,18828709,MA,de Minas,Aeroporto Maria Clara Albuquerque,8149,
915916c0-e4e6-4bb8-8d9e-ecc3c0737fd9,76221-644,MG,Verde,Condomínio Camila Vasconcelos,8282,Bloco B
9f396d7e-9c21-4436-b0ae-67c9f04940de,,RJ,do Galho,Distrito de Macedo,5782,
0ffff626-a0ab-4149-9a0d-824f3613abb8,88409-738,MA,Paulista,Morro Caroline Silva,8109,Bloco B
853fff6d-d8cf-4f45-a406-c228fe74f674,02127-760,AC,do Sul,Conjunto Igor Leão,1762,Bloco B
5b96f7a8-1e47-4c71-a6c0-f609e96a77cd,75526310,GO,de Goiás,Via José Albuquerque,5993,Bloco B
1f4d7852-c9b3-4980-a3ce-0564bf93de17,47198972,MG,do Sul,Via Lunna da Cunha,839,Apto 12
8c4c5899-4a31-4466-b057-b17fec90cdf8,88731-494,MA,da Mata,Esplanada Castro,1205,Bloco B
0ee2aee7-aa3f-4371-8698-6469dd825a78,50193261,SP,da Mata,Lagoa Maitê Lopes,9009,Casa 2
405f05c5-01d1-41d8-89f0-ca83457fc8e3,91280549,RN,da Mata,Trevo Teixeira,1947,
ba246d85-43b1-4260-85dc-a2cd062efec3,07116-887,AM,das Flores,Feira Liz Camargo,6454,Casa 2
727ab7f4-b3c9-46f6-b791-1e58c19c10df,71687247,MT,do Norte,Via Lima,9140,Casa 2
f9f03198-efc3-4d1c-9bfd-f037c2ef3516,26845569,DF,dos Dourados,Praça Carvalho,9871,Bloco B
a060823f-e066-41f4-a022-8fde0119da1a,02995-629,AL,da Mata,Sítio Cassiano,638,Apto 12
e1eeccff-b121-4d0a-b5d5-026eb780ea23,30565144,SE,Verde,Chácara Brito,7762,Bloco B
c40e3dae-d0e2-4f65-b212-8ecbd5178d6f,51750606,PE,da Serra,Núcleo Francisco da Mota,2291,Casa 2
213be02b-81d4-48ae-970d-d8b3aaa3c387,32260514,SPP,da Praia,Sítio de Andrade,2663,
41ad7cb0-bc4f-47f4-ab3f-972df43f613b,41608-041,RN,da Serra,Favela de Rezende,4903,Casa 2
d83fcf21-fff1-4b2d-afeb-0c4658784ede,34396777,PE,do Norte,Parque de Jesus,8722,Bloco B
72af44be-9a32-4f01-ab3d-bbc4ac4e2194,74463054,MA,do Sul,Colônia de Moura,7781,
0ccacfc4-1c38-4f6c-a995-297fdbdcc883,10502170,RO,da Mata,Ladeira Marques,1796,Bloco B
f48db9c7-274b-406b-a610-4b76c891ad64,30159555,SE,Verde,Parque Maria Luísa Albuquerque,437,Bloco B
3cc6d636-086a-4175-a171-feef75352379,53597-145,RS,das Pedras,Aeroporto Vargas,9478,Apto 12
71644b25-5d86-454e-87cc-bf6f2ac9cab6,34645-539,RJ,de Goiás,Feira Caldeira,7872,Apto 12
96b508f9-d566-4c0d-ac00-1ac7ab4a7831,00164-712,SC,Paulista,Quadra da Cunha,6230,Apto 12
6d7d51fb-187b-4f8c-b98d-02a6b17111d4,15412-744,ES,das Pedras,Quadra Pedro Henrique da Rocha,518,
d7134bf7-7f74-4e9f-b9d7-83324a670462,39815-498,RR,das Flores,Rua Carlos Eduardo Câmara,1801,Apto 12
31d4bb87-e351-4fd7-969b-a2b6b3d07934,63056164,MT,do Amparo,Vale da Costa,6862,Apto 12
c70191a3-8456-4aeb-8fce-9e8e7336c20a,18835-879,DF,da Serra,Loteamento da Mota,6724,Bloco B
não-é-um-uuid,03085387,SC,Paulista,Feira Duarte,1021,
a22fffb5-e93c-4a6f-ba00-d696f1d64a8f,64987-963,PE,da Mata,Distrito João Guilherme Sales,3398,Casa 2
d12bd1aa-56f2-498b-8d4b-8b4193d5dc38,12345,PE,da Prata,Condomínio de Fonseca,6174,
cc8c49ac-3c57-46e6-b475-4330665a29a8,90486381,CE,da Praia,Ladeira Rael Ramos,7532,Casa 2
